Country,State,District,Year,District And Taluk Court Case Type,Date Of Extraction,Pending Cases For A Period Of 0 To 1 Years (UOM:Number),Pending Cases For A Period Of 1 To 3 Years (UOM:Number),Pending Cases For A Period Of 3 To 5 Years (UOM:Number),Pending Cases For A Period Of 5 To 10 Years (UOM:Number),Pending Cases For A Period Of 10 To 20 Years (UOM:Number),Pending Cases For A Period Of 20 To 30 Years (UOM:Number),Pending Cases Over 30 Years (UOM:Number),Pending Cases (UOM:Number),Original Pending Cases (UOM:Number),Pending Appeal Cases (UOM:Number),Pending Application Cases (UOM:Number),Pending Execution Cases (UOM:Number),Cases Pending At Appearance Or Service-Related Stage (UOM:Number),Cases Pending At Compliance Or Steps Or Stay Stage (UOM:Number),Cases Pending At Evidence Or Argument Or Judgement Stage (UOM:Number),Cases Pending At Pleadings Or Issues Or Charge Stage (UOM:Number),Cases Instituted In Last Month (UOM:Number),Cases Disposed In Last Month (UOM:Number),Cases Filed By Senior Citizens (UOM:Number),Cases Filed By Women (UOM:Number),Cases Delayed In Disposal (UOM:Number)
India,Assam,Chirang,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,254,163,53,15,6,0,0,491,421,9,50,11,116,50,223,101,20,24,72,132,4
India,Assam,Barpeta,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,4551,3345,3882,2923,246,1,0,14948,14041,49,858,0,4841,1975,7031,416,532,343,48,1661,1
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,30290,19612,16868,7664,513,8,0,74955,64341,1713,523,8312,33629,9206,22191,7912,4285,1903,6622,6380,325
India,Assam,Barpeta,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,2121,1644,580,765,76,0,0,5186,3955,160,571,500,1680,538,2632,321,295,125,879,590,5
India,Assam,Nalbari,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,785,610,466,249,19,0,0,2129,1605,85,261,178,513,238,1173,205,96,91,449,199,5
India,Andhra Pradesh,Kurnool,"Calendar Year (Jan - Dec), 2023",Civil,18-Jan-2023,10516,10474,8086,5030,473,3,0,34582,25018,1252,0,8312,8271,6513,10766,7206,1352,1138,5980,4852,261
India,Assam,Nagaon,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,9045,10133,6390,6572,518,8,0,32666,28731,303,3184,447,16058,2755,12212,1114,1023,720,1251,4699,1833
India,Bihar,Araria,"Calendar Year (Jan - Dec), 2023",Total,18-Jan-2023,10221,12736,15692,20049,12780,1910,215,73603,70482,410,2374,335,38381,3554,19049,305,1392,1576,4625,16297,54515
India,Assam,Jorhat,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,6087.84014736472035858670,5077.57539624410394631880,1774.10281106260803327850,417.48576890399320305790,15.24288811414173966540,0.00000000000000000000,0.00000000000000000000,13372.24701168956728090730,13078.39800193361263291320,60.97155245656695866160,232.87745729938768933250,0.00000000000000000000,9690.24270500688483284290,408.17067061201769548460,3095.15311428822547094650,176.14004043008232502240,552.13128057891190343560,260.82275217531421205240,50.80962704713913221800,110.93435238625377200930,7.62144405707086983270
India,Assam,Baksa,"Calendar Year (Jan - Dec), 2023",Criminal,18-Jan-2023,1397,1221,1029,0,0,0,0,3647,697,24,2926,0,1444,293,1808,73,148,341,13,163,314
